length_string	hash_name	number_strings	collision_proportion
10	DEK	150000	6.66667e-06
10	DEK	160000	6.25e-06
10	DEK	170000	5.88235e-06
10	DEK	180000	1.66667e-05
10	DEK	190000	1.57895e-05
10	DEK	200000	2e-05
10	DEK	210000	1.90476e-05
10	DEK	220000	2.27273e-05
10	DEK	230000	2.6087e-05
10	DEK	240000	2.91667e-05
10	DEK	250000	2.8e-05
10	DEK	260000	3.07692e-05
10	DEK	270000	2.96296e-05
10	DEK	280000	3.21429e-05
10	DEK	290000	3.10345e-05
10	DEK	300000	3e-05
10	DEK	310000	2.90323e-05
10	DEK	320000	3.125e-05
10	DEK	330000	3.93939e-05
10	DEK	340000	3.82353e-05
10	DEK	350000	5.14286e-05
10	DEK	360000	5.27778e-05
10	DEK	370000	5.13514e-05
10	DEK	380000	5.78947e-05
10	DEK	390000	5.89744e-05
10	DEK	400000	7e-05
10	DEK	410000	7.31707e-05
10	DEK	420000	7.61905e-05
10	DEK	430000	7.67442e-05
10	DEK	440000	7.72727e-05
10	DEK	450000	7.77778e-05
10	DEK	460000	8.26087e-05
10	DEK	470000	8.51064e-05
10	DEK	480000	8.95833e-05
10	DEK	490000	9.59184e-05
10	DEK	500000	0.0001
10	DEK	510000	0.000101961
10	DEK	520000	0.0001
10	DEK	530000	0.000101887
10	DEK	540000	0.000101852
10	DEK	550000	0.000103636
10	DEK	560000	0.000107143
10	DEK	570000	0.000110526
10	DEK	580000	0.000113793
10	DEK	590000	0.000113559
10	DEK	600000	0.000118333
10	DEK	610000	0.000119672
10	DEK	620000	0.000124194
10	DEK	630000	0.000126984
10	DEK	640000	0.00013125
10	DEK	650000	0.000130769
10	DEK	660000	0.000131818
10	DEK	670000	0.000129851
10	DEK	680000	0.000129412
10	DEK	690000	0.000130435
10	DEK	700000	0.000132857
10	DEK	710000	0.00013662
10	DEK	720000	0.000138889
10	DEK	730000	0.000141096
10	DEK	740000	0.000143243
10	DEK	750000	0.000145333
10	DEK	760000	0.000144737
10	DEK	770000	0.000146753
10	DEK	780000	0.000147436
10	DEK	790000	0.000155696
10	DEK	800000	0.0001575
10	DEK	810000	0.000160494
10	DEK	820000	0.000160976
10	DEK	830000	0.000162651
10	DEK	840000	0.000160714
10	DEK	850000	0.00016
10	DEK	860000	0.000165116
10	DEK	870000	0.000168966
10	DEK	880000	0.000169318
10	DEK	890000	0.00017191
10	DEK	900000	0.000175556
10	DEK	910000	0.000179121
10	DEK	920000	0.000186957
10	DEK	930000	0.000189247
10	DEK	940000	0.000192553
10	DEK	950000	0.000192632
10	DEK	960000	0.000192708
10	DEK	970000	0.000196907
10	DEK	980000	0.000196939
10	DEK	990000	0.00019798
10	DEK	1000000	0.000198
10	AP	10000	0
10	AP	20000	5e-05
10	AP	30000	3.33333e-05
10	AP	40000	2.5e-05
10	AP	50000	2e-05
10	AP	60000	1.66667e-05
10	AP	70000	1.42857e-05
10	AP	80000	1.25e-05
10	AP	90000	2.22222e-05
10	AP	100000	3e-05
10	AP	110000	2.72727e-05
10	AP	120000	2.5e-05
10	AP	130000	2.30769e-05
10	AP	140000	2.85714e-05
10	AP	150000	2.66667e-05
10	AP	160000	2.5e-05
10	AP	170000	2.35294e-05
10	AP	180000	3.33333e-05
10	AP	190000	3.15789e-05
10	AP	200000	3e-05
10	AP	210000	3.33333e-05
10	AP	220000	3.18182e-05
10	AP	230000	3.04348e-05
10	AP	240000	3.33333e-05
10	AP	250000	3.2e-05
10	AP	260000	3.46154e-05
10	AP	270000	3.7037e-05
10	AP	280000	3.57143e-05
10	AP	290000	3.44828e-05
10	AP	300000	3.33333e-05
10	AP	310000	3.22581e-05
10	AP	320000	3.4375e-05
10	AP	330000	3.93939e-05
10	AP	340000	4.11765e-05
10	AP	350000	4.28571e-05
10	AP	360000	4.16667e-05
10	AP	370000	4.05405e-05
10	AP	380000	3.94737e-05
10	AP	390000	4.10256e-05
10	AP	400000	4e-05
10	AP	410000	3.90244e-05
10	AP	420000	4.04762e-05
10	AP	430000	4.18605e-05
10	AP	440000	4.31818e-05
10	AP	450000	4.44444e-05
10	AP	460000	5.43478e-05
10	AP	470000	5.53191e-05
10	AP	480000	5.625e-05
10	AP	490000	5.71429e-05
10	AP	500000	6e-05
10	AP	510000	5.88235e-05
10	AP	520000	6.34615e-05
10	AP	530000	6.22642e-05
10	AP	540000	7.03704e-05
